Symbol,Time,Open,High,Low,Latest,Change,%Change,Volume,"Open Int"
B6Z11,2011-12-07,1.5599,1.5725,1.5586,1.5693,0.009,+0.58%,108000,200657
B6Z11,2011-12-08,1.5706,1.5769,1.5608,1.5641,-0.0052,-0.33%,109287,200389
B6Z11,2011-12-09,1.5625,1.5734,1.5584,1.5661,0.002,+0.13%,102765,195419
B6Z11,2011-12-12,1.5646,1.5661,1.5536,1.558,-0.0081,-0.52%,131681,204947
B6Z11,2011-12-13,1.5583,1.5628,1.545,1.5492,-0.0088,-0.56%,185843,218203
B6H12,2011-12-14,1.5477,1.5517,1.5394,1.5453,-0.0039,-0.25%,201452,243753
B6H12,2011-12-15,1.5448,1.5517,1.5421,1.5489,0.0036,+0.23%,169852,268489
B6H12,2011-12-16,1.55,1.5545,1.5469,1.5485,-0.0004,-0.03%,93151,267718
B6H12,2011-12-19,1.5512,1.5532,1.5451,1.5507,0.0022,+0.14%,61177,195214
B6H12,2011-12-20,1.5483,1.5688,1.5477,1.5648,0.0141,+0.91%,96144,183972
B6H12,2011-12-21,1.5646,1.5761,1.5634,1.5656,0.0008,+0.05%,80525,180254
B6H12,2011-12-22,1.5664,1.5716,1.5637,1.5668,0.0012,+0.08%,49104,180728
B6H12,2011-12-23,1.5666,1.5696,1.557,1.5616,-0.0052,-0.33%,38885,183353
B6H12,2011-12-27,1.5641,1.5668,1.562,1.5657,0.0041,+0.26%,21226,183119
B6H12,2011-12-28,1.5647,1.5681,1.5427,1.544,-0.0217,-1.39%,87664,201295
B6H12,2011-12-29,1.545,1.5465,1.535,1.5382,-0.0058,-0.38%,56368,206632
B6H12,2011-12-30,1.5398,1.5562,1.5382,1.55,0.0118,+0.77%,55574,202249
B6H12,2012-01-03,1.5564,1.5663,1.55,1.5638,0.0138,+0.89%,65050,193595
B6H12,2012-01-04,1.5634,1.5643,1.5568,1.56,-0.0038,-0.24%,63871,189586
B6H12,2012-01-05,1.56,1.5619,1.5457,1.5475,-0.0125,-0.80%,82311,195154
B6H12,2012-01-06,1.5485,1.5515,1.5365,1.5414,-0.0061,-0.39%,79808,201482
B6H12,2012-01-09,1.5411,1.5461,1.5386,1.5429,0.0015,+0.10%,50002,203303
B6H12,2012-01-10,1.5453,1.5492,1.5429,1.5476,0.0047,+0.30%,53619,199855
B6H12,2012-01-11,1.5474,1.5479,1.53,1.5306,-0.017,-1.10%,108657,208342
B6H12,2012-01-12,1.5323,1.5359,1.527,1.5331,0.0025,+0.16%,96858,214790
B6H12,2012-01-13,1.5329,1.54,1.5222,1.5293,-0.0038,-0.25%,98370,213212
B6H12,2012-01-17,1.5286,1.5396,1.5273,1.5318,0.0025,+0.16%,90543,211418
B6H12,2012-01-18,1.5324,1.5436,1.5318,1.5417,0.0099,+0.65%,88995,206633
B6H12,2012-01-19,1.5423,1.549,1.5407,1.546,0.0043,+0.28%,81321,199799
B6H12,2012-01-20,1.5482,1.5571,1.5443,1.5532,0.0072,+0.47%,88822,193537
B6H12,2012-01-23,1.5535,1.5595,1.551,1.5555,0.0023,+0.15%,79560,190954
B6H12,2012-01-24,1.5557,1.5624,1.5525,1.5597,0.0042,+0.27%,81325,190040
B6H12,2012-01-25,1.5613,1.5672,1.5525,1.5639,0.0042,+0.27%,108622,188833
B6H12,2012-01-26,1.5648,1.573,1.5644,1.5689,0.005,+0.32%,98623,188953
B6H12,2012-01-27,1.5683,1.5735,1.5635,1.5716,0.0027,+0.17%,100163,191914
B6H12,2012-01-30,1.5722,1.5723,1.5647,1.5692,-0.0024,-0.15%,68083,191982
B6H12,2012-01-31,1.5701,1.5794,1.5691,1.5749,0.0057,+0.36%,103885,190849
B6H12,2012-02-01,1.5762,1.588,1.57,1.5829,0.008,+0.51%,107105,196123
B6H12,2012-02-02,1.5834,1.5854,1.579,1.5797,-0.0032,-0.20%,79437,193667
B6H12,2012-02-03,1.5803,1.5855,1.5745,1.5825,0.0028,+0.18%,99860,192663
B6H12,2012-02-06,1.5814,1.5837,1.5725,1.5821,-0.0004,-0.03%,74075,192729
B6H12,2012-02-07,1.5818,1.5901,1.5784,1.5891,0.007,+0.44%,86813,195888
B6H12,2012-02-08,1.5899,1.5924,1.5792,1.5812,-0.0079,-0.50%,87042,194040
B6H12,2012-02-09,1.5813,1.5882,1.5789,1.5822,0.001,+0.06%,86283,194328
B6H12,2012-02-10,1.5814,1.5845,1.5725,1.5735,-0.0087,-0.55%,79760,193335
B6H12,2012-02-13,1.579,1.5824,1.5735,1.577,0.0035,+0.22%,71250,194950
B6H12,2012-02-14,1.5748,1.577,1.5641,1.5653,-0.0117,-0.74%,110146,192071
B6H12,2012-02-15,1.5691,1.5732,1.5653,1.5687,0.0034,+0.22%,100717,187728
B6H12,2012-02-16,1.5682,1.5813,1.5652,1.5798,0.0111,+0.71%,119685,189758
B6H12,2012-02-17,1.5797,1.586,1.5786,1.5838,0.004,+0.25%,87019,186626
B6H12,2012-02-21,1.5855,1.5895,1.5769,1.5782,-0.0056,-0.35%,128767,186668
B6H12,2012-02-22,1.5781,1.5813,1.5645,1.5669,-0.0113,-0.72%,135486,196045
B6H12,2012-02-23,1.5672,1.5747,1.5648,1.5713,0.0044,+0.28%,94131,198433
B6H12,2012-02-24,1.574,1.5899,1.5713,1.5884,0.0171,+1.09%,146114,184732
B6H12,2012-02-27,1.5887,1.5895,1.5808,1.5817,-0.0067,-0.42%,86471,182963
B6H12,2012-02-28,1.5818,1.5907,1.5798,1.5886,0.0069,+0.44%,88394,176885
B6H12,2012-02-29,1.59,1.5991,1.5898,1.5919,0.0033,+0.21%,141408,173735
B6H12,2012-03-01,1.5914,1.5974,1.5895,1.595,0.0031,+0.19%,83428,174806
B6H12,2012-03-02,1.5953,1.5965,1.5822,1.583,-0.012,-0.75%,100396,173937
B6H12,2012-03-05,1.5829,1.5876,1.5784,1.5867,0.0037,+0.23%,80027,174498
B6H12,2012-03-06,1.5862,1.5882,1.5696,1.5706,-0.0161,-1.01%,142444,184104
B6H12,2012-03-07,1.5717,1.5758,1.5697,1.5739,0.0033,+0.21%,89840,188166
B6H12,2012-03-08,1.5742,1.5833,1.5724,1.5826,0.0087,+0.55%,123593,191998
B6H12,2012-03-09,1.583,1.583,1.566,1.5667,-0.0159,-1.00%,155050,199667
B6H12,2012-03-12,1.5671,1.5695,1.5601,1.5631,-0.0036,-0.23%,128932,200619
B6H12,2012-03-13,1.5635,1.5747,1.562,1.5688,0.0057,+0.36%,187599,202905
B6H12,2012-03-14,1.5704,1.5744,1.5649,1.5674,-0.0014,-0.09%,194690,206332
B6M12,2012-03-15,1.5658,1.5728,1.5624,1.5712,0.0038,+0.24%,123982,205727
B6M12,2012-03-16,1.5699,1.5852,1.5685,1.5823,0.0111,+0.71%,129039,200705
B6M12,2012-03-19,1.5835,1.5905,1.5812,1.5889,0.0066,+0.42%,78431,143872
B6M12,2012-03-20,1.5882,1.5889,1.5821,1.5859,-0.003,-0.19%,67801,141411
B6M12,2012-03-21,1.5852,1.5914,1.5807,1.5849,-0.001,-0.06%,91060,137331
B6M12,2012-03-22,1.5859,1.5883,1.5761,1.5809,-0.004,-0.25%,81611,138222
B6M12,2012-03-23,1.5806,1.59,1.5798,1.586,0.0051,+0.32%,80395,137816
B6M12,2012-03-26,1.5862,1.5965,1.5792,1.5944,0.0084,+0.53%,96512,138680
B6M12,2012-03-27,1.5955,1.5994,1.5934,1.5953,0.0009,+0.06%,85994,135147
B6M12,2012-03-28,1.5941,1.5956,1.5833,1.5887,-0.0066,-0.41%,112634,134638
B6M12,2012-03-29,1.5881,1.5951,1.5852,1.5924,0.0037,+0.23%,96104,139047
B6M12,2012-03-30,1.5945,1.603,1.5924,1.5988,0.0064,+0.40%,114421,140546
B6M12,2012-04-02,1.6002,1.6056,1.5972,1.6035,0.0047,+0.29%,90519,144258
B6M12,2012-04-03,1.601,1.604,1.5884,1.5888,-0.0147,-0.92%,107683,142660
B6M12,2012-04-04,1.5904,1.5909,1.5826,1.5882,-0.0006,-0.04%,92205,143760
B6M12,2012-04-05,1.5885,1.5902,1.5797,1.5823,-0.0059,-0.37%,88725,146086
B6M12,2012-04-06,1.5822,1.5886,1.5816,1.5869,0.0046,+0.29%,15709,146380
B6M12,2012-04-09,1.5885,1.5908,1.5829,1.5901,0.0032,+0.20%,35574,146730
B6M12,2012-04-10,1.5892,1.5925,1.5802,1.5853,-0.0048,-0.30%,109193,145522
