Symbol,Time,Open,High,Low,Latest,Change,%Change,Volume,"Open Int"
J6U18,2018-08-09,0.0090375,0.009055,0.009015,0.0090275,-0.0000075,-0.08%,84232,190219
J6U18,2018-08-10,0.0090215,0.0090705,0.009016,0.0090615,0.000034,+0.38%,193183,192355
J6U18,2018-08-13,0.009067,0.009103,0.0090345,0.009055,-0.0000065,-0.07%,160380,187724
J6U18,2018-08-14,0.009047,0.0090625,0.009003,0.009011,-0.000044,-0.49%,120513,185834
J6U18,2018-08-15,0.009011,0.0090745,0.008993,0.0090625,0.0000515,+0.57%,147382,188206
J6U18,2018-08-16,0.009051,0.009071,0.009016,0.0090365,-0.000026,-0.29%,129380,184403
J6U18,2018-08-17,0.009029,0.0090825,0.0090215,0.009059,0.0000225,+0.25%,110389,190315
J6U18,2018-08-20,0.009065,0.0091065,0.009051,0.0090895,0.0000305,+0.34%,94205,193408
J6U18,2018-08-21,0.009104,0.0091265,0.009061,0.009073,-0.0000165,-0.18%,104071,189698
J6U18,2018-08-22,0.009092,0.009104,0.009055,0.009059,-0.000014,-0.15%,107514,192998
J6U18,2018-08-23,0.009061,0.009062,0.0089955,0.0089985,-0.0000605,-0.67%,115090,193077
J6U18,2018-08-24,0.008998,0.009013,0.008982,0.0090045,0.000006,+0.07%,82466,189364
J6U18,2018-08-27,0.008995,0.0090265,0.0089925,0.0090125,0.000008,+0.09%,65075,186738
J6U18,2018-08-28,0.009017,0.009024,0.0089915,0.009002,-0.0000105,-0.12%,70596,185082
J6U18,2018-08-29,0.0090035,0.0090095,0.0089525,0.0089635,-0.0000385,-0.43%,108857,189670
J6U18,2018-08-30,0.00896,0.0090215,0.008956,0.0090145,0.000051,+0.57%,107356,186230
J6U18,2018-08-31,0.009018,0.0090435,0.009006,0.009017,0.0000025,+0.03%,111878,188021
J6U18,2018-09-04,0.00901,0.0090295,0.0089725,0.008978,-0.000039,-0.43%,148756,185347
J6U18,2018-09-05,0.008979,0.0089835,0.008954,0.008974,-0.000004,-0.04%,120208,189466
J6U18,2018-09-06,0.0089755,0.0090535,0.008971,0.0090265,0.0000525,+0.59%,137948,192135
J6U18,2018-09-07,0.009039,0.0090645,0.0089935,0.0090075,-0.000019,-0.21%,166440,184722
J6U18,2018-09-10,0.0090085,0.009025,0.0089925,0.0089955,-0.000012,-0.13%,107374,186978
J6U18,2018-09-11,0.009006,0.0090065,0.00896,0.0089645,-0.000031,-0.34%,157255,193428
J6U18,2018-09-12,0.008961,0.009003,0.008959,0.008993,0.0000285,+0.32%,257811,212097
J6Z18,2018-09-13,0.009048,0.009055,0.0089875,0.0089975,0.0000045,+0.05%,268507,219549
J6Z18,2018-09-14,0.008994,0.0090075,0.008973,0.0089855,-0.000012,-0.13%,167268,223468
J6Z18,2018-09-17,0.0089835,0.0090065,0.008977,0.008997,0.0000115,+0.13%,65511,187995
J6Z18,2018-09-18,0.0090005,0.0090135,0.0089545,0.0089565,-0.0000405,-0.45%,125461,200221
J6Z18,2018-09-19,0.0089575,0.0089735,0.00895,0.0089655,0.000009,+0.10%,86303,195705
J6Z18,2018-09-20,0.008964,0.0089805,0.0089365,0.0089465,-0.000019,-0.21%,112739,200377
J6Z18,2018-09-21,0.008946,0.008949,0.0089135,0.0089405,-0.000006,-0.07%,109578,201841
J6Z18,2018-09-24,0.00894,0.008949,0.0089165,0.0089265,-0.000014,-0.16%,76133,207968
J6Z18,2018-09-25,0.0089195,0.008924,0.0089045,0.0089085,-0.000018,-0.20%,86124,215376
J6Z18,2018-09-26,0.008907,0.008932,0.008892,0.008916,0.0000075,+0.08%,121614,223178
J6Z18,2018-09-27,0.0089235,0.008935,0.0088625,0.008867,-0.000049,-0.55%,139532,238449
J6Z18,2018-09-28,0.008867,0.008876,0.008842,0.008854,-0.000013,-0.15%,129552,233782
J6Z18,2018-10-01,0.008843,0.0088445,0.0088145,0.0088215,-0.0000325,-0.37%,107166,249557
J6Z18,2018-10-02,0.00882,0.0088555,0.0088175,0.008844,0.0000225,+0.26%,123175,252277
J6Z18,2018-10-03,0.008848,0.008856,0.008775,0.008792,-0.000052,-0.59%,126885,258250
J6Z18,2018-10-04,0.0087805,0.0088445,0.008774,0.008827,0.000035,+0.40%,163673,256113
J6Z18,2018-10-05,0.008825,0.0088495,0.008807,0.0088355,0.0000085,+0.10%,134351,257209
J6Z18,2018-10-08,0.0088345,0.008908,0.00882,0.0088935,0.000058,+0.66%,104423,256097
J6Z18,2018-10-09,0.008881,0.008904,0.0088625,0.0088905,-0.000003,-0.03%,135921,253374
J6Z18,2018-10-10,0.0088935,0.008953,0.0088705,0.0089255,0.000035,+0.39%,155159,247877
J6Z18,2018-10-11,0.0089495,0.008985,0.0089285,0.0089745,0.000049,+0.55%,283033,232492
J6Z18,2018-10-12,0.0089595,0.0089805,0.0089305,0.0089705,-0.000004,-0.04%,156004,223606
J6Z18,2018-10-15,0.0089585,0.0090005,0.0089515,0.008979,0.0000085,+0.09%,137261,218654
J6Z18,2018-10-16,0.008987,0.008991,0.0089415,0.008955,-0.000024,-0.27%,124872,211210
J6Z18,2018-10-17,0.008946,0.008967,0.008914,0.008929,-0.000026,-0.29%,129556,209620
J6Z18,2018-10-18,0.0089125,0.008973,0.008908,0.008951,0.000022,+0.25%,151899,208276
J6Z18,2018-10-19,0.0089505,0.008954,0.0089135,0.0089185,-0.0000325,-0.36%,140939,206788
J6Z18,2018-10-22,0.008924,0.008937,0.0088945,0.0089005,-0.000018,-0.20%,102603,207883
J6Z18,2018-10-23,0.008898,0.008968,0.0088975,0.0089265,0.000026,+0.29%,192006,205643
J6Z18,2018-10-24,0.0089285,0.0089565,0.0089035,0.008929,0.0000025,+0.03%,173679,204628
J6Z18,2018-10-25,0.008948,0.0089765,0.008907,0.0089135,-0.0000155,-0.17%,171399,206621
J6Z18,2018-10-26,0.008929,0.0090115,0.0089255,0.0089735,0.00006,+0.67%,288521,205305
J6Z18,2018-10-29,0.00897,0.0089785,0.0089145,0.0089315,-0.000042,-0.47%,187453,204890
J6Z18,2018-10-30,0.0089325,0.0089355,0.008871,0.008883,-0.0000485,-0.54%,180254,203113
J6Z18,2018-10-31,0.0088715,0.008894,0.008849,0.0088755,-0.0000075,-0.08%,153392,205120
J6Z18,2018-11-01,0.0088825,0.008908,0.008877,0.0088995,0.000024,+0.27%,124958,202341
J6Z18,2018-11-02,0.008905,0.0089115,0.0088505,0.0088545,-0.000045,-0.51%,167193,203100
J6Z18,2018-11-05,0.008858,0.0088695,0.008848,0.0088585,0.000004,+0.05%,76474,202601
J6Z18,2018-11-06,0.008858,0.0088675,0.0088355,0.0088435,-0.000015,-0.17%,102298,209453
J6Z18,2018-11-07,0.008838,0.008879,0.0088105,0.008847,0.0000035,+0.04%,201287,214360
